дек 23 10:08:33 	3.617MiB / 31.03GiB	0.01%	0.13%
дек 23 10:08:35 	3.91MiB / 31.03GiB	0.01%	0.15%
дек 23 10:08:37 	3.945MiB / 31.03GiB	0.01%	0.13%
дек 23 10:08:39 	3.941MiB / 31.03GiB	0.01%	0.12%
дек 23 10:08:42 	3.945MiB / 31.03GiB	0.01%	0.28%
дек 23 10:08:44 	4.121MiB / 31.03GiB	0.01%	0.14%
дек 23 10:08:46 	33.02MiB / 31.03GiB	0.10%	43.93%
дек 23 10:08:48 	135.5MiB / 31.03GiB	0.43%	11.41%
дек 23 10:08:50 	141MiB / 31.03GiB	0.44%	95.96%
дек 23 10:08:52 	172.5MiB / 31.03GiB	0.54%	157.19%
дек 23 10:08:54 	236.4MiB / 31.03GiB	0.74%	74.96%
дек 23 10:08:56 	232.6MiB / 31.03GiB	0.73%	63.37%
дек 23 10:08:58 	232.4MiB / 31.03GiB	0.73%	0.49%
дек 23 10:09:01 	235.7MiB / 31.03GiB	0.74%	187.13%
дек 23 10:09:03 	236.9MiB / 31.03GiB	0.75%	67.32%
дек 23 10:09:05 	236.4MiB / 31.03GiB	0.74%	68.31%
дек 23 10:09:07 	243.3MiB / 31.03GiB	0.77%	0.18%
дек 23 10:09:09 	240.6MiB / 31.03GiB	0.76%	62.68%
дек 23 10:09:11 	240.5MiB / 31.03GiB	0.76%	65.03%
дек 23 10:09:13 	239.7MiB / 31.03GiB	0.75%	70.14%
дек 23 10:09:16 	241.1MiB / 31.03GiB	0.76%	0.25%
дек 23 10:09:18 	239.4MiB / 31.03GiB	0.75%	76.01%
дек 23 10:09:20 	241.5MiB / 31.03GiB	0.76%	70.52%
дек 23 10:09:22 	242.6MiB / 31.03GiB	0.76%	38.78%
дек 23 10:09:24 	247.9MiB / 31.03GiB	0.78%	49.75%
дек 23 10:09:26 	251.1MiB / 31.03GiB	0.79%	117.64%
дек 23 10:09:28 	294.8MiB / 31.03GiB	0.93%	255.76%
дек 23 10:09:30 	301.6MiB / 31.03GiB	0.95%	51.33%
дек 23 10:09:32 	294.5MiB / 31.03GiB	0.93%	30.23%
дек 23 10:09:34 	304.8MiB / 31.03GiB	0.96%	172.28%
дек 23 10:09:36 	300.8MiB / 31.03GiB	0.95%	117.70%
дек 23 10:09:39 	305.6MiB / 31.03GiB	0.96%	51.60%
дек 23 10:09:41 	307.5MiB / 31.03GiB	0.97%	91.82%
дек 23 10:09:43 	303MiB / 31.03GiB	0.95%	51.72%
дек 23 10:09:45 	303.1MiB / 31.03GiB	0.95%	49.44%
дек 23 10:09:47 	303MiB / 31.03GiB	0.95%	6.55%
дек 23 10:09:49 	302.3MiB / 31.03GiB	0.95%	85.03%
дек 23 10:09:51 	299.7MiB / 31.03GiB	0.94%	41.23%
дек 23 10:09:53 	299.6MiB / 31.03GiB	0.94%	14.52%
дек 23 10:09:55 	0B / 0B	0.00%	0.00%
дек 23 10:09:57 	0B / 0B	0.00%	0.00%
дек 23 10:09:59 	0B / 0B	0.00%	0.00%
дек 23 10:10:01 	0B / 0B	0.00%	0.00%
дек 23 10:10:03 	0B / 0B	0.00%	0.00%
дек 23 10:10:05 	0B / 0B	0.00%	0.00%
дек 23 10:10:08 	0B / 0B	0.00%	0.00%
дек 23 10:10:10 	0B / 0B	0.00%	0.00%
дек 23 10:10:12 	0B / 0B	0.00%	0.00%
дек 23 10:10:14 	0B / 0B	0.00%	0.00%
дек 23 10:10:16 	0B / 0B	0.00%	0.00%
дек 23 10:10:18 	0B / 0B	0.00%	0.00%
дек 23 10:10:20 	0B / 0B	0.00%	0.00%
дек 23 10:10:22 	0B / 0B	0.00%	0.00%
дек 23 10:10:24 	0B / 0B	0.00%	0.00%
дек 23 10:10:26 	0B / 0B	0.00%	0.00%
дек 23 10:10:28 	0B / 0B	0.00%	0.00%
дек 23 10:10:30 	0B / 0B	0.00%	0.00%
дек 23 10:10:32 	0B / 0B	0.00%	0.00%
дек 23 10:10:34 	0B / 0B	0.00%	0.00%
дек 23 10:10:36 	0B / 0B	0.00%	0.00%
дек 23 10:10:38 	0B / 0B	0.00%	0.00%
дек 23 10:10:40 	0B / 0B	0.00%	0.00%
дек 23 10:10:43 	0B / 0B	0.00%	0.00%
дек 23 10:10:45 	0B / 0B	0.00%	0.00%
дек 23 10:10:47 	0B / 0B	0.00%	0.00%
дек 23 10:10:49 	0B / 0B	0.00%	0.00%
дек 23 10:10:51 	0B / 0B	0.00%	0.00%
дек 23 10:10:53 	0B / 0B	0.00%	0.00%
дек 23 10:10:55 	0B / 0B	0.00%	0.00%
дек 23 10:10:57 	0B / 0B	0.00%	0.00%
дек 23 10:10:59 	0B / 0B	0.00%	0.00%
дек 23 10:11:01 	0B / 0B	0.00%	0.00%
дек 23 10:11:03 	0B / 0B	0.00%	0.00%
дек 23 10:11:05 	0B / 0B	0.00%	0.00%
дек 23 10:11:07 	0B / 0B	0.00%	0.00%
дек 23 10:11:09 	0B / 0B	0.00%	0.00%
дек 23 10:11:11 	0B / 0B	0.00%	0.00%
дек 23 10:11:13 	0B / 0B	0.00%	0.00%
дек 23 10:11:15 	0B / 0B	0.00%	0.00%
дек 23 10:11:17 	0B / 0B	0.00%	0.00%
дек 23 10:11:19 	0B / 0B	0.00%	0.00%
дек 23 10:11:22 	0B / 0B	0.00%	0.00%
дек 23 10:11:24 	0B / 0B	0.00%	0.00%
