Code,Name,City
MJZ,Мирный,Мирный
NBC,Бегишево,Нижнекамск
NOZ,Спиченково,Новокузнецк
NAL,Нальчик,Нальчик
OGZ,Беслан,Владикавказ
CSY,Чебоксары,Чебоксары
NYM,Надым,Надым
NYA,Нягань,Нягань
URS,Курск-Восточный,Курск
SKX,Саранск,Саранск
TBW,Донское,Тамбов
OVS,Советский,Советский
IJK,Ижевск,Ижевск
SLY,Салехард,Салехард
HMA,Ханты-Мансийск,Ханты-Мансийск
RGK,Горно-Алтайск,Горно-Алтайск
UKX,Усть-Кут,Усть-Кут
GDZ,Геленджик,Геленджик
NFG,Нефтеюганск,Нефтеюганск
VKT,Воркута,Воркута
KJA,Емельяново,Красноярск
PEE,Пермь,Пермь
EYK,Белоярский,Белоярский
SWT,Стрежевой,Стрежевой
KGD,Храброво,Калининград
KEJ,Кемерово,Кемерово
LED,Пулково,Санкт-Петербург
YKS,Якутск,Якутск
KHV,Хабаровск-Новый,Хабаровск
PKC,Елизово,Петропавловск-Камчатский
UUS,Хомутово,Южно-Сахалинск
VVO,Владивосток,Владивосток
IKT,Иркутск,Иркутск
GDX,Магадан,Магадан
CNN,Чульман,Нерюнгри
BTK,Братск,Братск
ABA,Абакан,Абакан
MMK,Мурманск,Мурманск
BAX,Барнаул,Барнаул
UUD,Байкал,Улан-Удэ
BQS,Игнатьево,Благовещенск
HTA,Чита,Чита
AAQ,Витязево,Анапа
STW,Ставрополь,Ставрополь
MRV,Минеральные Воды,Минеральные Воды
UIK,Усть-Илимск,Усть-Илимск
URJ,Петрозаводск,Урай
SCW,Сыктывкар,Сыктывкар
SVO,Шереметьево,Москва
USK,Усинск,Усинск
IWA,Иваново-Южный,Иваново
ASF,Астрахань,Астрахань
KUF,Курумоч,Самара
NJC,Нижневартовск,Нижневартовск
VOZ,Воронеж,Воронеж
SVX,Кольцово,Екатеринбург
VKO,Внуково,Москва
KZN,Казань,Казань
UFA,Уфа,Уфа
OVB,Толмачёво,Новосибирск
KRR,Краснодар,Краснодар
CEE,Череповец,Череповец
MCX,Уйташ,Махачкала
REN,Оренбург-Центральный,Оренбург
ARH,Талаги,Архангельск
RTW,Саратов-Центральный,Саратов
KYZ,Кызыл,Кызыл
AER,Сочи,Сочи
GRV,Грозный,Грозный
OMS,Омск-Центральный,Омск
CEK,Челябинск,Челябинск
UCT,Ухта,Ухта
DME,Домодедово,Москва
MQF,Магнитогорск,Магнитогорск
BZK,Брянск,Брянск
KGP,Когалым,Когалым
DYR,Анадырь,Анадырь
PYJ,Полярный,Удачный
KXK,Хурба,Комсомольск-на-Амуре
ROV,Ростов-на-Дону,Ростов-на-Дону
GOJ,Стригино,Нижний Новгород
VOG,Гумрак,Волгоград
ULY,Ульяновск-Восточный,Ульяновск
KVX,Победилово,Киров
KRO,Курган,Курган
EGO,Белгород,Белгород
LPK,Липецк,Липецк
JOK,Йошкар-Ола,Йошкар-Ола
OSW,Орск,Орск
PEZ,Пенза,Пенза
IAR,Туношна,Ярославль
UUA,Бугульма,Бугульма
KLF,Калуга,Калуга
ULV,Баратаевка,Ульяновск
ESL,Элиста,Элиста
PES,Бесовец,Петрозаводск
TOF,Богашёво,Томск
SGC,Сургут,Сургут
NNM,Нарьян-Мар,Нарьян-Мар
NSK,Норильск,Норильск
TJM,Рощино,Тюмень
NUX,Новый Уренгой,Новый Уренгой
NOJ,Ноябрьск,Ноябрьск
PKV,Псков,Псков
